Поле,Валидные классы,Невалидные классы
Имя пользователя,"Имя из 10 символов (буквы и цифры)","Имя из 2 символов"
,"Имя из 20 символов (буквы и цифры)","Имя из 21 символа"
,"Имя из 3 символов (буквы и цифры)","Имя со спецсимволами (!@#)"
Пароль,"Пароль из 8 символов (Aa1)","Пароль из 7 символов (Aa1)"
,"Пароль из 16 символов (Aa1Bb2Cc3Dd4Ee5)","Пароль из 17 символов (Aa1Bb2Cc3Dd4Ee5Ff6)"
,"Пароль с буквами верхнего и нижнего регистра и цифрой (Aa1Bb2Cc3)","Пароль без цифр (AaBbCc)"
Возраст,"Возраст 18 лет","Возраст 17 лет"
,"Возраст 25 лет","Возраст 66 лет"
,"Возраст 65 лет","Возраст -1"
Email,"Email в формате example@example.com","Email без символа @ (example.com)"
,"Email из 50 символов (a@a.aaaaaaaaaaaaaaaaaa)","Email из 51 символов (a@a.aaaaaaaaaaaaaaaaaaa)"
,"Email с допустимыми символами (a.b_c-d@e.f)","Email с недопустимыми символами (a@b$c.d)"
